#{"t_start": 1704281210.0784667, "env_id": "None"}
r,l,t
-49180.983897,387,254.191649
-44885.235123,137,254.780745
-16524.862205,91,255.262457
-2003.420467,57,255.672806
-44369.548865,176,256.356213
-150017.110993,477,257.805962
-86993.253557,282,258.741726
-4982.634369,44,259.114927
-88982.528422,597,260.816737
-49392.614399,332,261.875852
-10796.350992,81,262.34731
-174495.133842,760,265.66745
-53856.242754,213,266.445819
-24244.569258,143,267.070193
-36111.25627,195,267.800351
-53753.850783,264,268.685657
-106841.752093,523,270.200273
-33610.030593,159,270.862162
-35188.167531,232,271.673727
-160778.170789,942,274.183728
-47665.680098,166,274.842096
-171837.695658,919,277.319421
-44158.855876,339,279.575361
-21835.073999,65,279.999732
-21693.331935,155,280.635687
-21457.298199,91,281.115148
-46188.750397,159,281.757536
-65455.126046,310,282.762755
-23951.46208,93,283.248724
-16285.228096,92,283.744282
-16657.594293,118,284.29872
-32481.624612,311,285.305192
-12883.553124,111,285.836748
-29559.923017,103,286.34602
-18757.68393,148,286.957307
-77721.298205,213,287.735852
-4253.721261,42,288.099321
-41622.485798,120,288.651751
-9780.978641,84,289.127146
-97835.232808,451,290.483254
-26795.13397,231,291.295871
-85025.094505,304,292.31183
-16814.287332,49,292.697188
-19424.023521,103,293.211847
-18102.317697,83,293.678718
-158392.900984,848,297.165815
-30124.485028,245,298.02537
-10933.49045,86,298.524778
-159333.711192,643,300.316797
-17273.73701,124,300.874326
-20563.747793,94,301.379713
-79220.079621,379,302.555099
-32650.559234,275,303.463701
-11255.420182,190,304.176422
-28795.872365,150,304.785196
-6473.230892,23,305.096763
-80447.756672,271,305.987332
-20862.161013,119,306.550825
-51035.560607,415,307.828445
-21455.914053,242,308.679202
-3147.672519,51,309.069202
-63498.233339,279,309.984838
-18080.71367,114,310.534727
-23541.91398,152,312.510619
-67196.383415,418,313.767152
-41598.524694,174,314.455958
-3497.30664,68,314.881835
-35802.538642,168,315.566264
-68107.724452,471,316.934258
-79674.823587,348,318.015721
-48203.838477,315,319.033777
-35325.910268,125,319.618792
-26522.841434,75,320.072824
-81709.548038,272,321.029797
-15893.780574,92,321.531773
-151085.419181,1001,324.295601
-80088.920743,368,325.449086
-71274.449137,225,327.796939
-12752.942414,72,328.240987
-30035.085541,123,328.814564
-41359.23311,245,329.668416
-3491.048839,40,330.033679
-50742.807627,305,331.053684
-54269.856456,377,332.253658
-77575.719082,296,333.260737
-98344.615875,609,335.005971
-34277.986437,236,335.856849
-76619.671626,259,336.760149
-37482.462711,144,337.380501
-155482.367025,344,338.483976
-48483.326783,179,339.183654
-57561.921688,274,340.109273
-7018.139593,101,340.62013
-5653.103024,73,341.081877
-8422.734728,54,341.492088
-96623.727984,285,343.694513
-6665.644835,54,344.094805
-3099.239737,88,344.574395
-103436.829936,707,346.542197
-5568.444009,60,346.959745
-57194.278862,220,347.854434
-62022.725737,301,349.034668
-600.54015,21,349.367575
-19096.912613,122,349.924578
-79029.708308,422,351.243231
-26009.949383,162,351.96452
-2477.84179,52,352.37874
-16340.181553,131,352.98473
-156009.115695,645,354.848461
-5085.985855,25,355.180275
-18985.411005,103,355.70356
-13958.285221,136,356.299329
-30749.018906,120,356.878683
-33128.896443,200,357.63781
-1063.376058,29,357.980484
-7006.55897,32,358.330795
-15950.6833,69,358.765871
-89595.392874,409,361.307178
-68590.811531,344,362.421976
-176174.68905,874,364.82874
-131650.815653,497,366.331167
-59977.079481,344,367.554796
-10503.714598,148,368.273002
-1013.101481,34,368.625162
-6130.421576,67,369.080382
-6719.548074,94,369.579777
-27472.742272,269,370.501718
-6918.729819,82,370.962952
-16873.742942,169,371.633789
-4099.530535,44,372.002723
-12984.270654,146,372.621236
-43071.823189,375,373.784872
-99004.140472,609,376.65644
-57654.185264,280,377.58027
-5718.972212,53,377.972226
-13538.428697,86,378.451332
-9413.542,91,378.934181
-33420.417213,201,379.678469
-12328.053657,62,380.099428
-31830.630647,219,380.895854
-118051.087754,763,382.954745
-24181.582949,74,383.392783
-15152.408524,63,383.813713
-70596.086523,326,384.864854
-62659.265653,236,385.707386
-37401.635655,268,386.648686
-196745.458824,1001,389.305857
-13262.464311,124,389.878633
-5513.963211,40,390.247135
-15827.420724,73,390.693184
-20148.300349,99,392.392805
-64146.020857,372,393.538529
-20039.636676,179,394.236035
-24848.976797,103,394.757217
-19523.629372,200,395.508427
-78398.273514,573,397.150223
-12923.417345,82,397.61531
-1228.544937,21,397.951497
-99790.08351,403,399.196017
-91871.405643,549,400.806266
-37934.51818,231,401.643687
-8928.745184,57,402.051193
-27956.813415,222,402.879576
-20701.653823,230,403.706978
-3335.470584,50,404.106796
-119767.730649,382,405.298615
-42629.364955,133,405.90429
-67673.672867,256,406.789344
-39335.01872,213,408.823725
-27696.157972,126,409.394451
-13459.232954,88,409.876384
-110628.477769,247,410.742227
-57946.061606,551,412.372663
-8448.116347,71,412.842214
-13158.574229,57,413.27616
-119399.938984,702,415.264295
-4963.714422,79,415.726717
-134612.347944,833,418.008327
-20845.295766,85,418.477174
-9408.558862,75,418.922641
-35576.83524,175,419.609717
-36848.122602,118,420.164242
-54734.998737,141,420.763639
-6863.904177,64,421.185684
-115604.003691,509,423.893575
-1492.861845,59,424.309343
-104928.933636,169,425.005845
-24499.224369,98,425.519203
-432.51054,19,425.856288
-34896.4132,228,426.698671
-932.650926,48,427.079287
-108492.686229,387,428.276757
-42394.77977,270,429.182168
-777.205537,48,429.558351
-19695.286842,255,430.466201
-26917.950962,101,430.980753
-35980.593147,257,431.862194
-39169.685828,250,432.733444
-40846.931286,133,433.321249
-7145.001613,64,433.757781
-90658.995043,402,435.008744
