#{"t_start": 1704888107.8573146, "env_id": "None"}
r,l,t
-7277.412461,666,1360.885746
-2013.601805,409,1367.109768
-4904.728007,303,1374.703386
-860.207939,77,1376.234895
-2686.581851,266,1379.627566
-4611.793039,321,1383.73113
-1112.599685,288,1387.733687
-1526.976723,135,1389.691125
-2447.246288,236,1393.30929
-1506.594506,140,1401.433837
-2729.029693,381,1406.803481
-1963.183496,387,1411.868378
-2607.409385,178,1414.303159
-2903.522358,155,1417.00925
-437.761646,42,1418.184088
-770.799389,51,1419.683103
-14966.476093,1001,1435.543086
-7198.670839,1001,1447.053284
-9391.929689,851,1462.793895
-7103.069335,1001,1474.157887
-2686.077789,1001,1485.544195
-615.863642,62,1487.427997
-1111.640306,126,1490.478502
-1093.690663,105,1492.84218
-2892.391233,471,1500.788185
-9980.419095,1001,1511.753678
-674.622579,64,1513.194249
-9905.266364,1001,1530.172374
-868.166272,180,1533.140018
-2947.779586,294,1536.752169
-2090.250258,475,1541.793175
-4375.108885,406,1547.398235
-2761.963865,351,1552.478154
-4132.67796,546,1561.332899
-5446.063286,357,1565.571558
-1646.742639,410,1570.023318
-1975.585123,400,1581.628992
-7702.798152,819,1589.559402
-1319.551274,274,1592.773345
-9706.833125,578,1598.708805
-6502.9188,414,1603.80849
-3201.01203,156,1606.930126
-5205.40602,750,1617.622365
-1008.331356,247,1622.014357
-1008.481322,170,1624.77867
-6191.130649,511,1630.717659
-860.610169,82,1638.293674
-10700.531276,869,1648.38274
-1695.176116,228,1651.988267
-1175.53511,218,1654.671103
-4974.47956,237,1658.098467
-9882.997369,516,1664.240282
-5072.695701,506,1671.664334
-1813.514839,486,1679.48895
-1454.92381,392,1685.635668
-10601.821125,518,1691.733188
-5580.32097,722,1706.859156
-870.812402,223,1709.553345
-2776.81941,414,1714.489122
-1499.741867,132,1716.561371
-1913.965076,232,1719.623182
-761.394497,99,1721.655171
-675.185968,58,1722.863528
-7686.112616,919,1734.799578
-493.783651,79,1738.209408
-2202.411802,277,1742.249237
-3163.070403,176,1745.907647
-5250.934089,720,1755.389123
-2808.328568,635,1768.959309
-903.648127,58,1770.143007
-2618.459011,542,1776.670354
-5607.594114,557,1783.593261
-1671.247138,255,1786.790059
-2104.903057,385,1792.52263
-2422.869318,406,1799.494336
-2308.269177,619,1807.594358
-1428.056758,260,1812.059971
-2843.917105,692,1826.785906
-10408.613959,894,1836.487618
-2443.523508,385,1841.418604
-3056.036718,267,1845.162333
-7036.452163,572,1852.198471
-4888.14081,438,1858.647297
-1817.13737,485,1865.63458
-6159.857682,1001,1884.472341
-2507.812047,821,1893.847589
-2397.585227,474,1899.403162
-3129.509374,296,1903.084346
-2503.090395,733,1912.327214
-950.072102,137,1914.960363
-4080.257619,604,1923.029475
-1880.701025,288,1927.398405
-1918.463879,582,1935.148812
-1211.426265,295,1945.610474
-1914.221316,601,1952.556677
-8964.169857,734,1961.437483
-2060.263044,98,1963.147508
-4056.585144,678,1971.918818
-2017.137367,557,1978.556788
-988.108156,87,1980.33305
-3979.150421,682,1991.592576
-1417.981131,337,1995.762653
-2621.209292,147,2004.482848
-681.110128,61,2006.967816
-2793.941648,518,2014.100896
-1334.632351,165,2016.707812
-2610.884609,851,2026.462605
-647.707091,60,2027.995044
-2531.622705,276,2032.142377
-939.330916,106,2034.086568
-2539.512569,381,2038.954754
-1704.20879,401,2043.724899
-2459.326597,332,2049.16591
-1771.802878,358,2056.062499
-661.194108,50,2057.390646
