#{"t_start": 1704289406.5730932, "env_id": "None"}
r,l,t
-663.139506,389,375.743255
-490.041702,278,376.744909
-477.530064,294,377.799753
-438.614419,252,378.755844
-716.354899,521,380.424476
-606.002507,342,382.81718
-365.629008,174,383.55631
-359.64841,198,384.354104
-993.789553,518,385.991312
-317.523918,195,386.789125
-745.543831,559,388.54503
-1397.79831,873,391.114734
-416.537503,186,391.874844
-319.028444,214,392.710575
-837.689019,478,394.257362
-642.104574,358,395.476114
-340.372747,191,397.474119
-187.956898,112,398.040425
-1313.242353,829,400.525805
-537.767083,294,401.571888
-1561.954086,1001,404.523329
-95.072977,51,404.926277
-528.844694,364,406.160891
-232.593149,195,406.950169
-916.126169,575,408.770141
-345.378281,234,409.661868
-599.22081,347,412.058758
-603.144707,412,413.431856
-193.740858,134,414.070143
-293.375122,174,414.808666
-756.759019,428,416.225005
-547.94925,383,417.530726
-487.593803,316,418.656888
-401.227712,204,419.481368
-178.76959,107,420.040985
-811.64787,440,421.488911
-403.326444,259,422.447803
-322.948909,175,423.187773
-104.54914,61,423.632392
-103.166037,63,424.07658
-351.382074,216,424.92399
-1586.044392,1001,429.060856
-306.18163,174,429.793905
-889.539498,500,431.392223
-918.629851,591,433.24963
-81.996798,49,433.645247
-250.228015,148,434.301796
-167.564987,101,434.851216
-400.932937,203,435.65904
-401.948448,210,436.488024
-397.653334,348,437.67539
-277.369538,222,438.538077
-274.734176,173,439.266669
-362.398152,256,440.216658
-396.777532,274,441.224984
-87.803258,47,441.612958
-66.665245,44,442.000263
-157.059575,95,442.525906
-611.324814,361,444.978991
-60.803438,44,445.371599
-226.306833,150,446.038414
-1631.075832,1001,449.007148
-923.784346,533,450.713821
-468.766646,272,451.721241
-75.7199,43,452.104672
-319.811775,181,452.860213
-397.54363,237,453.778376
-148.494518,94,454.298475
-213.756161,151,454.972681
-134.079239,105,455.527725
-286.994557,207,456.351587
-425.153045,242,457.267306
-280.200019,194,458.061118
-293.28183,181,458.820665
-233.954995,161,459.525899
-356.242319,232,460.410672
-416.485693,252,462.561775
-762.050306,540,464.29219
-409.860135,253,465.242629
-115.727328,65,465.68769
-391.509314,232,466.582355
-719.928138,432,468.004143
-151.260549,95,468.532477
-91.850571,63,468.973083
-180.286358,130,469.599344
-51.29919,32,469.954832
-292.706082,201,470.7613
-395.909221,243,471.684049
-735.414325,433,473.106263
-323.233574,210,473.957527
-78.158287,40,474.341408
-866.642823,444,475.800606
-616.185608,392,477.110921
-1016.115558,581,480.134946
-154.723683,81,480.620219
-77.962065,46,481.01744
-116.589193,71,481.474988
-168.098894,103,482.02555
-591.915161,352,483.244695
-380.10268,238,484.143411
-152.126854,83,484.636381
-168.602189,81,485.12885
-588.90289,366,486.375736
-281.670712,174,487.110121
-901.31084,557,488.867117
-489.820838,299,489.925877
-162.100782,81,490.411746
-89.496275,70,490.871837
-99.38359,64,491.312982
-717.025406,455,492.822068
-141.917974,84,493.326019
-513.159653,291,494.380484
-69.073473,39,494.754105
-181.190482,123,496.572384
-108.336843,82,497.067533
-313.331983,180,497.822091
-181.352409,109,498.378037
-352.622538,255,499.326908
-383.846125,226,500.201827
-111.473286,81,500.685818
-944.205564,600,502.568881
-411.947789,209,503.394103
-219.197751,134,504.018159
-122.50348,77,504.500189
-82.661947,46,504.903364
-551.671233,345,506.126999
-119.681326,77,506.632214
-369.34483,254,507.608525
-72.302549,43,507.99058
-97.749943,63,508.441808
-672.616363,399,509.799931
-151.091259,89,510.308042
-129.457439,72,510.775994
-207.422206,136,511.435576
-728.820085,468,513.060173
-268.016706,160,515.256551
-19.196429,14,515.579306
-309.138878,198,516.446744
-475.054413,299,517.558046
-292.569014,152,518.28343
-126.843367,69,518.827935
-555.793871,321,520.212113
-685.629118,456,522.02623
-158.637858,91,522.627969
-572.335869,358,524.048664
-31.736956,22,524.405828
-1250.623937,785,527.071692
-327.352976,200,528.091588
-1541.104589,882,531.263484
-154.613199,80,531.816819
-332.853857,173,534.366841
-145.184255,79,534.964554
-53.806648,35,535.390328
-242.075812,157,536.139416
-178.580149,116,536.784154
-232.053214,125,537.439071
-103.894123,68,537.904633
-839.575334,555,539.935994
-104.275692,60,540.46951
-538.107152,318,541.688815
-393.879695,219,542.645851
-44.832538,27,543.009582
-407.31333,247,544.011651
-162.811202,118,544.593469
-496.514183,317,545.71639
-845.660046,482,547.277742
-83.626279,59,547.710266
-499.514421,362,548.958106
-112.447634,83,549.451717
-334.171256,290,550.507928
-697.8891,441,553.19379
-489.268576,343,554.397548
-240.488396,156,555.107471
-108.33985,67,555.558453
-25.023734,14,555.86625
-694.503392,407,557.233086
-447.423993,293,558.289928
-160.437239,93,558.80614
-271.016773,159,559.514336
-183.388353,117,560.099038
-198.025208,110,560.658084
-85.710696,61,561.095127
-202.598604,150,561.778287
-249.742427,167,562.499409
-61.123481,41,562.877703
-249.429107,139,563.520263
-144.654751,103,564.06866
-552.754398,280,565.088818
-290.098214,189,565.866307
-472.518843,274,566.861117
-147.45363,97,567.386855
-675.532254,373,568.658556
-433.22416,296,569.735616
-426.294118,281,572.098401
-191.3021,120,572.691944
-61.24673,40,573.07437
-283.555991,195,573.87796
-241.54761,123,574.468848
-58.40743,38,574.844719
-144.839727,85,575.348043
-100.198044,66,575.792038
-350.340422,193,576.573578
-298.003085,167,577.291771
-156.475189,99,577.819285
-532.045463,319,578.935892
-68.492269,43,579.323884
-587.914124,351,580.53382
-295.210023,179,581.283562
-221.573002,155,581.974539
-144.894121,91,582.487762
-409.65579,309,583.57898
-123.425076,96,584.118295
-76.076031,53,584.524817
-116.822787,72,584.988376
-83.594799,47,585.38375
-756.00022,365,586.625798
-1180.642706,704,589.971941
-558.900238,333,591.131241
-163.172863,108,591.683626
-372.394954,263,592.65116
-525.848035,365,593.901853
-59.030973,45,594.288375
-174.302784,124,594.887933
-280.552305,186,595.656719
-86.644819,49,596.053805
-132.142592,65,596.494998
-1524.18954,804,598.933472
-384.125457,205,599.746269
-184.101362,103,600.287899
-189.417067,113,600.864398
-97.540253,60,601.291726
-511.482122,313,602.388753
-943.154565,562,604.152931
-156.698384,103,604.696814
-85.504395,59,605.12106
-111.321157,87,605.62619
-348.792077,259,607.786222
-129.299453,81,608.260051
-191.692261,105,608.806729
-733.298118,448,610.26932
-804.146594,474,611.807704
-113.852451,104,612.351786
-75.675481,55,612.761305
-113.615281,81,613.251468
-1115.29565,656,615.271036
-890.86163,501,616.883986
-170.420766,106,617.43311
-661.30555,436,618.871113
-105.554766,65,619.306524
-78.785812,53,619.723602
-108.60463,55,620.147478
-424.922826,293,621.198355
-219.444633,133,621.827461
-150.758462,94,622.348346
-277.111395,191,624.352027
-736.284161,434,625.780858
-130.689349,76,626.254434
-775.923632,403,627.614822
-1067.392436,675,629.70265
-172.362549,167,630.429387
-120.413357,71,630.896528
-250.395751,175,631.631113
-597.299016,398,632.962
-131.162322,103,633.511142
-278.496197,176,634.24735
-527.8177,396,635.587493
-89.006518,95,636.113718
-210.473264,141,636.76185
-161.836281,101,637.305913
-204.92247,150,637.989335
-304.284169,241,638.9027
-51.784259,31,639.25302
-227.322386,191,640.039498
-287.211916,195,642.022874
-114.719425,69,642.479761
-77.305796,61,642.907995
-352.038857,267,643.88117
-175.704849,102,644.422812
-168.062918,96,644.944577
-78.752352,50,645.350937
-420.003269,244,646.280579
-777.749339,513,647.917853
-136.964815,95,648.438754
-452.411667,249,649.373314
-296.937711,193,650.15208
-139.214985,99,650.67994
-68.910046,44,651.070501
-105.192114,56,651.487842
-36.914188,31,651.837105
-296.203838,163,652.538616
-389.024121,213,653.374639
-82.882061,48,653.769439
-678.983422,420,655.169709
-389.053341,262,656.143997
-37.360047,24,656.471492
-83.069749,52,656.87825
-259.147287,149,657.544898
-177.173597,139,658.186584
-258.136813,171,658.909801
-166.46507,116,659.496209
-79.084646,47,661.164091
-249.220339,141,661.816674
-350.907078,210,662.670372
-137.791033,87,663.18131
-79.60479,57,663.609627
-107.513016,65,664.05101
-1191.697412,735,666.359454
-994.048856,511,668.002146
-662.531117,421,669.406998
-50.652868,38,669.782853
-176.807504,111,670.35544
-140.062853,92,670.87114
-56.631793,34,671.237505
-185.665284,108,671.811311
-239.255078,133,672.438796
-415.091831,268,673.432174
-71.908143,60,673.874861
-177.5186,127,674.645322
-66.913734,46,675.134396
-285.873197,156,676.005736
-181.345613,122,676.898951
-195.017547,115,677.875434
-490.522376,285,679.485927
-98.530846,61,680.049391
-117.80249,67,680.609864
-54.344721,37,682.622595
-54.821666,38,683.060267
-66.887283,44,683.565534
-106.092525,75,684.211677
-183.824271,124,685.118715
-434.418698,253,686.550521
-387.760251,251,687.934547
-136.125855,87,688.617119
-175.950952,115,689.42909
-44.533762,31,689.899543
-201.634841,139,690.919598
-89.210975,51,691.563033
-36.562212,22,692.074997
