#{"t_start": 1704286857.1671188, "env_id": "None"}
r,l,t
-7.197978,57,359.914901
-36.401113,244,361.426902
-90.115064,194,362.636997
-11.105733,129,363.673763
-29.018455,292,365.232138
-7.845093,65,365.880563
-26.777266,222,367.135302
-94.070022,322,368.738658
-3.845744,48,369.429442
-72.502586,230,371.884861
-19.73531,108,372.734477
-28.262156,149,373.64602
-15.03982,180,374.730792
-84.613579,193,375.956421
-12.200193,113,376.656596
-27.462378,170,377.833023
-6.410787,89,378.571811
-12.79195,87,379.264821
-1.105651,21,379.702974
-5.708047,106,380.583137
-13.185822,92,381.415192
-4.812793,71,382.028353
-6.621584,73,382.786891
-6.599297,93,383.47545
-8.164599,78,384.12037
-72.761204,205,385.57106
-7.778444,65,386.137424
-61.898492,287,387.680058
-9.471149,78,388.389568
-2.518679,41,388.941371
-43.068074,153,389.997863
-9.23993,116,390.911232
-18.353497,202,392.203234
-13.095339,140,393.24062
-39.113184,276,394.842067
-23.343449,200,396.036434
-84.509971,405,398.146965
-24.757451,222,399.335994
-49.260155,142,401.675828
-6.207009,114,402.603864
-2.686153,47,403.154717
-67.88122,239,404.497747
-15.449953,89,405.232742
-16.163203,163,406.333223
-1.57159,21,406.804181
-87.671803,274,408.252419
-31.914617,169,409.337252
-233.087456,451,411.461594
-29.144216,258,412.985838
-25.126792,260,414.290506
-57.398408,256,415.866888
-55.496647,190,416.870218
-3.480027,49,417.49117
-84.088407,376,419.71455
-15.545852,142,420.802243
-73.253226,230,422.083046
-46.410097,258,423.72244
-48.593754,205,425.252086
-36.980228,163,426.365784
-23.875676,283,429.197136
-9.049614,146,430.315961
-5.34818,55,430.929024
-2.088965,43,431.495664
-6.391623,83,432.328261
-41.763859,132,433.130805
-19.718606,153,434.152777
-4.137968,65,434.907844
-3.869713,43,435.41023
-18.976947,103,436.308282
-4.483373,48,437.016177
-74.62993,350,438.832231
-11.99582,131,439.772886
-10.581577,84,440.366126
-6.378877,84,441.060848
-5.520594,53,441.657091
-35.475885,141,442.534087
-55.636477,200,443.724513
-208.218979,401,445.624359
-4.840351,70,446.352104
-62.29063,325,448.01273
-10.43695,142,448.819152
-12.834379,171,449.726934
-8.089036,108,450.374991
-16.862275,110,451.10438
-36.872676,224,452.375017
-18.546071,173,453.321741
-24.167126,109,454.233113
-3.187926,42,454.726318
-27.042283,175,457.394102
-87.03514,297,458.909682
-6.818877,71,459.560471
-18.829375,208,460.603976
-12.923072,94,461.384668
-30.474435,183,462.611226
-52.008958,183,463.720653
-3.433881,47,464.265734
-61.253902,222,465.489931
-33.209239,178,466.374247
-6.960003,91,466.978583
-24.305188,163,468.003933
-5.282367,59,468.678003
-17.13179,103,469.490983
-3.346408,46,470.084102
-14.099171,85,470.876196
-45.695614,294,472.369567
-29.986753,147,473.454216
-56.515932,260,475.118853
-16.540324,140,476.158752
-7.890373,93,476.927635
