#{"t_start": 1702896940.2977011, "env_id": "None"}
r,l,t
0.509633,808,417.439748
0.050983,100,418.006506
0.082984,381,419.481683
0.086305,281,420.486833
0.420019,591,422.35849
0.17163,202,423.192019
0.454599,729,425.644797
0.499057,1001,430.199504
0.045734,180,430.940255
0.314847,672,433.140204
0.270311,416,434.694098
0.06759,128,435.385408
0.138907,451,436.84647
0.46831,544,438.56663
0.699038,1001,443.086579
0.523796,833,445.555548
0.110538,250,446.499053
0.352772,451,448.054617
0.136717,130,448.776155
0.167985,427,450.361881
0.343503,540,452.309991
0.003434,93,452.847243
0.368278,765,455.187677
0.325987,279,456.204659
0.516708,1001,460.995751
0.85016,1001,464.080596
0.150429,297,465.262543
0.154773,203,466.300261
0.362323,628,468.353721
0.733285,1001,471.657658
0.027651,62,473.810763
0.357553,487,475.394773
0.573323,711,477.571949
0.842722,1001,480.730371
0.48286,776,483.565255
0.098861,212,484.556594
0.764741,816,487.576932
0.863968,1001,492.311437
0.871907,928,495.215283
0.194555,295,496.292114
0.102703,188,497.090452
0.072509,297,498.282268
0.024023,42,498.721297
0.350156,633,500.808255
0.217369,233,501.796539
0.874315,1001,506.5261
0.317645,426,507.930135
0.287219,596,509.82311
0.264578,213,510.790921
0.810421,1001,513.94154
0.713013,1001,517.050796
0.078535,246,518.056111
0.672439,895,522.378227
0.024509,64,522.858027
0.129413,175,523.657134
0.397597,881,526.282112
0.08354,212,527.121428
0.197264,275,528.118855
0.051447,52,528.542799
0.262979,284,529.683343
0.556058,743,532.148636
0.020525,56,532.697845
0.43879,577,534.534557
0.657323,709,538.250807
0.271,502,539.884218
0.46354,671,542.05169
0.68758,1001,545.150752
0.203271,187,545.994486
0.787559,1001,548.975866
0.106181,183,551.400627
0.124029,128,552.018795
0.589449,1001,554.925036
0.087543,113,555.525735
0.594933,871,558.102082
0.462617,444,559.783308
0.081216,251,560.856328
0.324847,673,562.908516
0.25075,263,563.946395
0.05397,88,564.54287
0.489509,680,568.122293
0.030588,91,568.641276
1.005764,1001,571.576098
0.069464,218,572.423449
0.168403,267,573.39605
0.576886,600,575.300762
0.074487,229,576.273512
0.067178,339,577.48455
0.08189,139,578.128186
0.343977,505,579.920302
0.339477,461,582.986895
0.087361,122,583.612828
0.149973,330,584.742858
0.722558,1001,587.931458
0.325069,453,589.425059
0.218069,270,590.496289
0.726161,747,592.803267
0.683334,778,595.191161
0.86432,1001,599.826715
0.497596,412,601.178737
0.950496,1001,604.118942
0.248729,406,605.501486
0.161771,295,606.741466
1.018044,1001,610.056491
0.21678,249,612.709611
0.082287,206,613.698882
0.242466,348,614.970807
0.375358,287,616.022008
0.481247,545,617.750721
0.189518,256,618.708049
0.045102,178,619.464234
0.246599,430,620.893271
0.403138,575,622.7132
0.424739,445,624.345582
0.549407,599,626.191362
1.045375,1001,630.715541
0.731924,1001,633.638818
0.365054,693,635.775179
0.044956,102,636.325377
0.11332,135,636.970432
0.615214,1001,640.177971
0.525187,739,644.13498
0.597397,855,646.670551
0.779486,575,648.493809
0.128464,151,649.184212
0.778913,1001,652.094403
0.21221,217,652.958555
0.40864,540,654.717931
1.191282,1001,659.385951
0.217077,287,660.500681
0.604428,726,662.699864
0.949233,1001,665.673918
0.830759,1001,668.776151
0.803589,809,672.815249
0.640149,1001,675.940425
0.817242,1001,678.878588
0.202765,223,679.744248
0.092,122,680.340941
0.719791,822,682.902105
0.211424,224,683.795322
0.535747,726,687.586099
0.36605,498,689.18256
0.950726,1001,692.42515
0.044324,174,693.191766
0.364031,340,694.353749
0.60558,587,696.20195
0.746692,577,698.005339
0.340612,348,699.243272
0.237512,246,701.763909
0.266553,281,702.878385
0.742962,1001,705.83589
0.550647,576,707.762491
0.401268,340,709.002734
0.011643,29,709.363743
0.185284,211,710.194159
0.504452,504,711.793817
0.318418,290,712.827484
0.870285,1001,717.370288
0.085597,57,717.91931
0.02128,44,718.418804
0.126236,116,719.07653
0.7463,707,721.208992
0.191955,256,722.165226
0.411548,590,724.12164
0.199847,173,724.889689
0.622338,345,726.07909
0.041019,113,726.658977
1.197827,1001,729.589854
0.023135,54,730.028194
1.026063,904,734.290999
0.009289,58,734.760167
0.120479,189,735.545625
0.98562,1001,738.475826
0.643009,527,740.168891
0.688337,772,742.627038
0.122588,82,743.129927
0.542527,483,744.865345
0.830575,783,748.707547
1.167797,1001,751.778541
1.021011,1001,754.725124
0.510289,686,756.93338
0.852549,1001,759.926215
0.40883,281,762.481022
0.148126,109,763.045012
0.190771,164,763.812628
0.112895,152,764.563122
0.266607,294,765.643531
0.097477,133,766.269702
1.24601,1001,769.197999
0.519688,523,771.015095
0.665627,677,773.23835
0.62146,638,775.197711
0.12932,228,777.624985
0.171255,171,778.392922
0.18098,96,778.9865
0.555252,482,780.582676
0.190533,198,781.381384
0.121158,176,782.150373
1.124214,1001,785.075376
0.283477,244,785.991696
0.298288,343,787.245205
1.258357,1001,790.269812
0.534453,470,793.355193
0.646157,610,795.417668
0.31167,208,796.29283
1.069794,1001,799.183756
0.137441,140,799.839935
0.826462,1001,802.798809
1.09594,977,805.789353
0.095431,68,807.820628
0.172594,171,808.664435
1.251081,1001,811.572035
0.090103,127,812.182143
0.571417,602,814.043754
0.779196,658,816.078105
0.793772,957,818.926466
1.429003,1001,823.749755
0.404049,295,824.8232
0.863661,644,826.794209
0.613309,378,828.078912
0.282426,310,829.20782
0.214645,194,829.991856
1.099325,1001,832.918668
0.583818,426,834.327671
0.597705,389,837.332462
0.935524,659,839.462646
0.581282,412,840.841237
0.08793,84,841.357033
1.158278,1001,844.294891
0.738428,693,846.435683
0.039319,34,846.826265
0.1311,149,847.576185
1.170982,1001,850.545309
0.493977,377,853.544754
0.897707,774,855.951689
0.528629,483,857.515452
0.32076,333,858.688001
0.880842,619,860.59426
0.906419,742,862.844419
0.281616,289,863.891432
0.691156,532,867.189163
0.247471,381,868.642664
0.833146,774,871.128046
0.164061,198,871.924844
0.20917,160,872.644252
