#{"t_start": 1704465075.6408708, "env_id": "None"}
r,l,t
-511.362896,1001,416.624027
-179.506737,447,418.119703
-300.539037,496,419.597362
-177.674062,294,420.585131
-424.166203,1001,423.271135
-515.706598,970,427.197277
-439.644846,729,429.299593
-638.19313,1001,432.061544
-386.579533,959,434.736077
-770.802059,861,438.378576
-160.63248,280,439.357947
-685.256378,1001,442.101788
-615.856041,923,444.700746
-379.688043,678,446.702599
-329.832622,300,447.73218
-290.090837,627,451.077462
-327.638588,790,453.311994
-71.509423,57,453.727759
-263.390035,395,454.98863
-607.725144,1001,457.766295
-42.971712,111,458.309937
-189.878832,355,459.517405
-302.045869,745,461.757558
-37.230776,57,462.183982
-309.316532,556,463.891309
-126.641636,225,466.057551
-242.06804,365,467.241334
-411.869092,1001,469.951692
-640.994054,1001,472.678657
-466.674178,688,474.632581
-658.180116,893,478.327463
-341.019421,446,479.683989
-407.158066,565,481.355803
-56.896598,317,482.477684
-175.165501,249,483.377682
-132.492332,299,484.382608
-120.239434,84,484.853263
-267.362915,331,485.952424
-503.657289,714,487.977346
-41.794962,110,488.515962
-143.096663,280,489.449394
-207.119472,433,490.767887
-280.759979,351,493.125656
-614.939022,1001,495.817408
-508.086118,723,497.835755
-176.132298,230,498.67155
-30.276824,51,499.05759
-255.044914,649,500.897382
-540.698345,643,502.735448
-49.043608,94,503.223671
-121.741239,220,504.027565
-539.149148,769,507.414538
-338.477573,636,509.217335
-351.168446,384,510.448627
-257.122785,320,511.527287
-52.447442,76,511.977614
-87.627013,137,512.578685
-66.134249,85,513.067403
-196.526809,232,513.916664
-286.892881,438,515.244018
-235.273005,298,516.242701
-434.550786,933,518.791742
-292.744115,541,521.582757
-273.686124,761,523.711683
-507.574455,620,525.509546
-244.936456,441,526.847277
-38.692158,69,527.299121
-68.661607,102,527.84762
-274.408532,321,528.908587
-155.9397,268,529.879361
-185.010088,386,531.088395
-131.939772,332,532.167247
-679.692896,917,535.969166
-585.741551,1001,538.768373
-123.012652,149,539.409248
-280.924476,740,541.537544
-216.552998,373,542.726326
-652.778677,1001,545.462321
-422.650115,428,548.019179
-197.341941,337,549.118022
-259.37719,242,550.051554
-417.795161,469,551.484954
-134.887147,308,552.52313
-179.48391,379,553.807874
-207.656635,315,554.871999
-129.567398,404,556.170717
-118.310633,246,557.052447
-287.456239,496,558.613143
-474.200599,1001,562.774656
-591.223219,834,565.161048
-390.922233,726,567.244114
-513.561672,1001,570.099257
-563.325949,848,572.413059
-148.492721,239,573.237332
-174.420139,747,576.445812
-291.10477,381,577.61173
-405.258912,609,579.332036
-181.438951,314,580.341166
-178.161916,176,581.035318
-173.430313,513,582.547815
-76.640441,101,583.063296
-634.355186,1001,585.801655
-101.527724,164,586.463402
-117.964713,266,587.377841
-444.353116,1001,591.272048
-157.245793,176,591.970335
-49.849013,124,592.556232
-324.097226,910,595.485382
-57.139973,66,595.910978
-277.455165,425,597.225214
-117.967054,136,597.820995
-134.494234,210,598.615773
-162.182129,222,599.419242
-87.907891,215,600.217379
-161.452289,350,601.349422
-141.766514,143,602.006208
-384.477495,672,605.040834
-373.593453,630,606.908535
-110.745633,276,607.863718
-416.151025,706,609.879783
-108.701007,512,611.40677
-351.920311,436,612.810245
-175.465377,312,613.844837
-470.81683,859,617.420792
-17.563093,116,617.970676
-365.802705,522,619.514892
-269.968905,432,620.821556
-424.762039,704,622.807508
-63.462303,304,623.811825
-89.406928,325,624.88343
-244.132311,329,625.952368
-190.102452,297,626.95126
-530.919582,1001,630.850339
-350.333728,1001,633.570621
-254.462429,644,635.388345
-522.673934,1001,638.096022
-157.478136,460,639.478054
-43.666308,77,639.954667
-476.240429,726,641.979013
-455.864801,859,645.476824
-67.908547,85,645.996876
-250.286327,550,647.603395
-443.650404,1001,650.35741
-155.248238,297,651.415254
-313.95722,672,653.365407
-105.438918,186,654.106872
-166.24036,248,654.987698
-188.583205,319,657.171999
-384.033288,366,658.344242
-149.338587,495,659.847644
-68.400075,422,661.135283
-127.016163,145,661.7523
-153.654513,201,662.506683
-258.464905,451,663.893925
-562.115029,864,666.286705
-74.388589,77,666.741982
-243.895338,339,667.888121
-304.806965,750,671.203873
-145.893284,313,672.26976
-45.261666,43,672.64091
-103.238515,213,673.460652
-119.70857,416,674.737785
-49.316708,403,676.012021
-140.27769,131,676.598522
-84.794099,114,677.159262
-69.802637,125,677.742069
-42.377869,90,678.229473
-140.935396,321,679.299134
-35.320421,44,679.709136
-659.197793,1001,682.429389
-241.19293,597,684.157035
-35.846389,149,684.834247
-574.114211,880,688.820098
-262.517231,379,690.008944
-563.654376,658,691.939911
-175.314031,768,694.116069
-283.62896,534,695.752779
-22.154427,145,696.407027
-124.243174,244,697.267767
-88.656756,91,697.769625
-246.844149,313,698.795505
-543.75387,1001,702.68239
-376.694621,733,704.77426
-814.606019,1001,707.508328
-55.509847,133,708.127677
-170.059031,236,708.971532
-136.021149,200,709.75996
-458.255095,864,712.247476
-35.108034,202,714.246744
-256.562249,346,715.347424
-3.483306,195,716.097937
-70.379608,108,716.700908
-116.809183,266,717.628218
-393.73261,507,719.159873
-259.560326,706,721.151473
-244.433304,842,723.436357
-4.219298,171,724.105536
-103.492722,172,724.790112
-176.597484,189,725.517934
-31.722113,160,726.192477
-350.927716,694,729.478828
-47.841249,100,730.018138
-196.429294,483,731.514877
-178.871551,475,732.947322
-215.653643,247,733.873965
-80.646959,312,734.920464
-158.536473,288,735.962237
-190.091023,466,737.416019
-171.114496,228,738.259317
-174.839545,439,739.578278
-226.692129,757,742.79992
-148.815539,344,743.920205
-124.541142,178,744.61053
-216.921387,1001,747.281752
-82.619244,210,748.048981
-33.961764,107,748.561853
-30.612325,90,749.03645
-144.166286,254,749.908502
-224.846081,354,751.007291
-76.662489,153,751.65207
-158.991429,510,753.161881
9.36063,365,754.310682
-166.197426,187,755.034883
-12.651186,189,755.757263
-99.786184,412,758.19626
-93.962768,225,758.998675
-82.787939,57,759.42863
-113.514824,141,760.026091
3.598823,118,760.576104
-97.353859,197,761.346631
-72.838726,116,761.883116
-162.506337,298,762.889295
-43.018961,286,763.847655
-48.177109,81,764.336675
-115.344206,415,765.629288
-97.099549,164,766.290575
-195.137615,331,767.344681
-302.443969,732,769.389665
-127.892068,310,770.396371
-124.330744,188,771.151044
-22.415747,22,771.481468
-491.348263,957,775.28331
-13.105635,22,775.613699
-173.433023,198,776.383967
-121.309146,295,777.376464
-56.187502,129,777.94409
-219.852314,533,779.493977
-437.618676,860,781.856804
-266.457144,768,784.042574
-153.965818,245,784.997306
-293.839933,1001,788.921788
-130.703947,421,790.227718
-56.820113,183,790.923897
-17.937267,302,791.930624
-182.979565,322,793.02413
-134.695391,308,794.087419
-204.719797,458,795.507367
-107.565392,138,796.120848
-77.788193,159,796.789177
-62.749079,215,797.607412
-41.067969,269,798.537488
-29.094398,123,799.107342
-92.495524,171,799.80975
-146.386348,225,800.647502
-117.306686,318,802.977551
-263.380689,506,804.464908
-171.818826,320,805.528549
-167.159353,382,806.725302
-49.510877,72,807.17042
-127.545245,335,808.257606
-257.823581,598,809.987593
-171.054439,368,811.177615
-118.210847,396,812.450646
-85.30383,185,813.181327
-37.944428,131,813.767557
-202.5081,256,814.657428
-171.430204,408,817.187683
-494.07801,865,819.577333
-46.800722,110,820.1076
-92.897154,183,820.837558
-261.048374,294,821.867531
-170.23606,609,823.728863
-48.441618,142,824.383752
-108.853031,408,825.677464
-286.863945,416,827.01767
-19.002008,180,827.737305
-155.146985,229,828.579826
-219.967341,412,829.865526
-104.714333,244,832.024709
-153.771931,255,832.954627
-199.010149,440,834.333591
-253.242801,538,835.994455
-39.804181,107,836.533217
-74.759988,117,837.102796
-53.131401,139,837.71198
-23.027197,183,838.413918
-221.50777,584,840.130553
-56.751622,229,840.958227
-361.023556,888,843.410477
-248.985256,536,846.353864
-56.598491,277,847.30732
-28.311201,123,847.87491
-58.738871,149,848.534849
-46.684206,150,849.179336
-67.709287,172,849.872786
-376.367107,797,852.104435
5.328649,71,852.56008
-308.255107,746,854.651365
-127.368319,700,856.632863
-228.819993,495,858.110066
-105.166528,359,860.446671
-66.808154,93,860.942576
-151.746111,594,862.659744
-72.787681,320,863.719138
-28.724672,299,864.728209
-36.047244,45,865.092887
-149.488585,585,866.895315
-83.648908,469,868.349052
-92.392951,147,868.977722
-20.878671,110,869.528737
-65.653239,187,870.254808
-461.911141,937,872.806913
-149.045563,282,873.820923
-44.902545,297,876.069036
-144.649042,359,877.219305
-37.207043,237,878.070673
-50.538945,211,878.893758
-111.773178,244,879.801329
-74.307128,295,880.834139
-37.064873,70,881.273983
-209.658341,561,882.934783
-65.608205,91,883.470879
-240.761605,484,884.950352
-109.965313,445,886.326265
24.063478,257,887.228105
-47.223603,243,888.118974
-244.619316,575,891.134219
-43.179274,54,891.535554
-93.638707,211,892.301427
-96.384001,87,892.793079
-39.311683,69,893.249884
-106.36145,474,894.668597
-129.462077,249,895.581277
-102.801972,574,897.286762
-61.780257,248,898.152025
-45.219159,52,898.585383
-85.142657,142,899.222912
-112.290741,298,900.254053
-73.462423,176,900.966144
-121.681377,176,901.716838
-66.228378,323,902.822938
-60.935826,207,903.595497
-267.786104,344,904.728722
-44.716714,68,905.176077
-172.627702,314,907.647674
-65.859587,149,908.366676
-24.539144,87,908.867006
-63.61635,170,909.547853
-257.984943,535,911.124994
-114.634905,394,912.351019
-167.070431,532,913.95693
-112.5779,365,915.105258
-197.118376,280,916.072504
-85.184539,159,916.728102
-35.532412,256,917.608631
-106.535222,288,918.582886
-21.254715,142,919.180058
-104.566317,161,919.841374
-199.366234,382,922.327395
-31.334146,113,922.877333
-189.025828,307,923.885752
-179.759292,348,924.970872
-208.748299,681,926.908752
-75.132706,241,927.791533
-85.992052,313,928.946364
-25.244367,49,929.387891
-110.165925,190,930.154922
-87.659037,168,930.878008
-92.125927,286,931.902268
-123.314299,347,933.097414
1.948632,344,934.23371
-51.717124,99,934.768445
-46.222348,117,935.349472
-84.666941,146,935.979669
-39.318888,120,936.56333
-47.488733,244,938.864175
-256.511516,1001,941.753033
-107.57872,416,943.131124
-183.408506,371,944.382791
-25.70439,143,945.032624
19.24381,188,945.791147
-96.957146,171,946.484358
-43.930614,97,947.01931
19.623327,196,947.773325
-64.4536,327,948.889256
-18.12677,131,949.503239
-96.841088,566,951.250814
-101.89481,594,954.498699
-129.320272,646,956.442964
-1.209631,91,956.940562
-127.531432,453,958.371859
5.936171,213,959.189292
-38.878045,79,959.676883
18.535756,172,960.399755
-169.45369,365,961.625546
-79.636812,1001,964.563025
-69.326073,415,965.923759
-383.392094,612,969.258247
-8.796884,124,969.873995
-141.389079,246,970.835971
-11.881667,182,971.582126
-131.295675,306,972.66625
-94.76422,169,973.388776
-24.002509,103,973.922734
-94.371447,159,974.630892
-11.8566,77,975.118483
-64.095445,708,977.212479
-28.682279,102,977.747304
-5.531651,303,978.816439
-52.27463,452,980.230354
-107.88846,195,981.032201
-204.193413,896,984.992026
-45.389953,157,985.683748
-181.561779,564,987.396428
-12.142867,46,987.800427
-178.102301,596,989.574433
-61.350318,188,990.320293
-4.054844,108,990.902632
-131.711678,262,991.846804
-80.657074,372,993.132744
-59.958147,325,994.308024
-81.262331,172,995.018027
-52.374552,423,996.412301
-165.862597,179,997.195646
-17.208365,97,997.717878
-41.820354,52,998.142896
-95.796083,165,998.851536
-18.107406,240,999.731788
-23.375056,79,1000.235117
-473.704668,1001,1004.496825
-17.940513,93,1005.0591
-42.076091,222,1005.937647
65.417965,600,1007.803427
-78.210953,311,1008.888465
-51.769441,391,1010.154668
-17.570845,95,1010.6699
-93.257863,303,1011.709363
-240.21678,182,1012.455363
-125.000795,294,1013.513151
-64.700558,510,1015.098925
-183.373222,367,1018.011722
-147.883368,424,1019.402016
-77.579539,342,1020.600246
-36.636429,114,1021.177196
-18.855541,163,1021.914774
-61.397478,376,1023.19202
-5.998189,127,1023.789468
-25.696492,139,1024.434329
-20.044698,187,1025.19069
-73.794221,170,1025.91322
3.782128,187,1026.684094
-18.136693,63,1027.133501
-27.743476,111,1027.734694
-6.096689,205,1028.581177
-55.942388,313,1029.665786
-66.534828,108,1030.215753
-220.26302,1001,1034.458863
2.768268,170,1035.181753
-3.80388,130,1035.763547
-50.346014,92,1036.282081
-77.299653,207,1037.09872
-28.691196,136,1037.727584
67.42448,198,1038.506608
-40.089343,71,1038.977824
-212.408676,588,1040.754157
-4.175763,127,1041.359407
46.021054,423,1042.75953
-65.758583,106,1043.310067
-33.578423,62,1043.760541
-206.000639,535,1045.401205
-35.65201,140,1046.030041
21.679506,605,1047.90075
-171.407475,325,1049.00114
-203.606374,603,1052.284618
-10.985417,348,1053.432426
-46.913311,171,1054.156442
-26.721284,409,1055.509517
-19.33209,57,1055.934344
-40.369069,193,1056.689292
-84.282436,905,1059.327253
2.85747,96,1059.86678
9.206409,116,1060.433933
-17.934618,247,1061.361377
-41.219671,182,1062.103815
-165.016838,659,1064.080023
-90.580324,334,1066.641872
-7.575113,35,1067.004806
-35.210128,85,1067.496427
-39.664928,264,1068.452259
-50.913606,51,1068.86409
-39.16955,88,1069.363434
-8.927179,433,1070.730376
73.077258,449,1072.145299
-169.010162,334,1073.309186
-4.118727,80,1073.781168
-81.298484,288,1074.786783
-111.367696,462,1076.250759
-27.661923,37,1076.628499
-48.201405,95,1077.147612
-10.529875,343,1078.34244
-103.104078,371,1079.568081
-71.313503,256,1080.49455
13.655266,160,1081.225717
-17.34673,45,1083.076661
-56.476694,321,1084.192979
-235.600034,643,1086.128106
-37.688828,248,1087.038533
12.253162,326,1088.185359
-1.2407,250,1089.144295
-86.159307,325,1090.244227
-59.499528,240,1091.140192
-39.444267,116,1091.706654
-8.12138,264,1092.649617
-83.979126,234,1093.512952
-140.284889,399,1094.784372
-31.155488,601,1096.56091
-193.677463,618,1099.671154
-157.737144,571,1101.400644
1.959815,158,1102.092355
-24.634275,38,1102.46479
-213.820558,480,1103.958882
-20.559897,440,1105.32656
-98.435279,359,1106.53696
-26.789172,303,1107.542557
-26.945422,71,1107.998085
-25.655087,113,1108.563514
-143.203314,410,1109.872861
-49.741118,124,1110.450241
-54.599635,200,1111.221169
-45.602904,158,1111.88089
-69.487887,170,1112.588167
-239.221283,511,1115.54711
-25.658469,201,1116.36412
53.625333,256,1117.260137
-42.779995,204,1118.045948
-11.480143,57,1118.470222
-84.394512,363,1119.680497
-159.011844,341,1120.827977
-12.225186,78,1121.299841
2.26267,129,1121.952396
12.811362,236,1122.858544
-37.192977,162,1123.550906
-15.332165,139,1124.195565
-67.909485,258,1125.122749
-46.86587,278,1126.129369
-32.560575,556,1127.82912
63.329308,301,1128.914146
-65.687537,177,1131.032117
34.918253,138,1131.649504
-7.501197,168,1132.341476
11.284518,240,1133.226622
8.565776,288,1134.245335
-185.071557,422,1135.637504
-82.528502,236,1136.567117
53.296332,385,1137.905472
40.088375,209,1138.73768
-119.510475,336,1139.900964
-74.838094,258,1140.884912
-82.240138,240,1141.817581
-171.42919,786,1144.26399
